year,fips,estabs,emp,tot_wages,avg_annual_pay
1983,13011,66,1898,26084321,13743
1983,13013,343,5962,75909889,12732
1983,13015,662,12151,174624820,14371
1983,13017,304,4284,52768720,12318
1983,13019,204,3146,40802139,12970
1983,13021,3101,52929,804544650,15200
1983,13023,164,1422,12836583,9027
1983,13025,72,556,6545050,11772
1983,13027,186,2217,20263355,9140
1983,13029,98,1083,12430513,11478
1983,13031,683,8088,95791579,11844
1983,13033,267,10114,234732395,23209
1983,13035,213,2076,20999003,10115
1983,13037,103,876,8604722,9823
1983,13039,283,4702,89598172,19055
1983,13043,159,1274,13109105,10290
1983,13045,908,19310,245535369,12715
1983,13047,354,5900,72113969,12223
1983,13049,109,1331,15281919,11482
1983,13051,4455,68931,1073375709,15572
1983,13053,31,467,4080076,8737
1983,13055,252,5690,71042204,12485
1983,13057,699,6249,76206150,12195
1983,13059,1714,29359,379256095,12918
1983,13061,46,381,3548475,9314
1983,13063,2239,48706,999751809,20526
1983,13065,121,1657,22447718,13547
1983,13067,6456,92338,1628166199,17633
1983,13069,518,6704,83400122,12440
1983,13071,663,7992,100622356,12590
1983,13073,465,5083,64966097,12781
1983,13075,221,2798,30086348,10753
1983,13077,616,10507,157068047,14949
1983,13079,62,518,4847172,9357
1983,13081,424,4889,53366601,10916
1983,13083,105,1738,19971348,11491
1983,13085,59,563,6086950,10812
1983,13087,453,6826,90432190,13248
1983,13089,10879,186657,3384613797,18133
1983,13091,268,2870,29800331,10383
1983,13093,173,1816,19574216,10779
1983,13095,2065,32495,536976677,16525
1983,13097,758,7440,92960877,12495
1983,13099,230,3286,55663285,16940
1983,13101,12,46,547511,11902
1983,13103,172,933,9372205,10045
1983,13105,417,5362,64714020,12069
1983,13107,369,4753,49340080,10381
1983,13109,162,2050,20065627,9788
1983,13111,187,1725,17066949,9894
1983,13113,508,5328,77770698,14597
1983,13115,1391,24339,377158100,15496
1983,13117,461,5560,69210617,12448
1983,13119,275,3371,38067613,11293
1983,13121,20120,434044,8342541846,19220
1983,13123,178,2639,29359522,11125
1983,13125,24,368,3485307,9471
1983,13127,1455,18626,259187087,13915
1983,13129,530,9664,135645449,14036
1983,13131,305,3887,43263547,11130
1983,13133,179,2549,28522107,11190
1983,13135,3581,50962,913231760,17920
1983,13137,446,7588,94774142,12490
1983,13139,1618,27346,367741561,13448
1983,13141,97,1012,9452258,9340
1983,13143,264,5567,71915575,12918
1983,13145,167,1782,19294239,10827
1983,13147,229,4537,62862008,13855
1983,13149,46,1160,18339537,15810
1983,13151,473,5340,71108455,13316
1983,13153,1036,12627,166678902,13200
1983,13155,122,1557,18149857,11657
1983,13157,349,5097,59030620,11581
1983,13159,88,1747,28217103,16152
1983,13161,226,4334,64196765,14812
1983,13163,248,3869,51624068,13343
1983,13165,131,1617,18139672,11218
1983,13167,111,1774,17557765,9897
1983,13169,158,1253,15027574,11993
1983,13171,152,2399,27355321,11403
1983,13173,77,593,5934891,10008
1983,13175,739,11131,148665431,13356
1983,13177,82,935,9997451,10692
1983,13179,377,4058,46151708,11373
1983,13181,100,992,10653968,10740
1983,13183,30,176,2116097,12023
1983,13185,1525,18976,244105860,12864
1983,13187,141,1752,19878719,11346
1983,13189,319,4258,47463942,11147
1983,13191,147,1093,9381774,8584
1983,13193,187,2256,27204597,12059
1983,13195,178,1535,15290037,9961
1983,13197,72,873,8310691,9520
1983,13199,242,3973,49198991,12383
1983,13201,110,749,7724114,10313
1983,13205,349,4249,47072174,11078
1983,13207,228,4700,72248240,15372
1983,13209,81,1012,10554262,10429
1983,13211,206,3040,40458578,13309
1983,13213,277,5285,77458522,14656
1983,13215,3218,54980,749000967,13623
1983,13217,453,7122,106017639,14886
1983,13219,132,1127,13416925,11905
1983,13221,84,627,6146877,9804
1983,13223,244,1914,21772719,11376
1983,13225,294,4643,63475072,13671
1983,13227,178,2916,35736654,12255
1983,13229,207,1508,14227870,9435
1983,13231,88,954,10641406,11155
1983,13233,438,6836,94255536,13788
1983,13235,170,1704,19009714,11156
1983,13237,138,2718,44214982,16267
1983,13239,21,88,738499,8392
1983,13241,213,2477,26105264,10539
1983,13243,176,1391,14459800,10395
1983,13245,3307,53453,803869555,15039
1983,13247,687,10342,159526875,15425
1983,13249,59,787,10422294,13243
1983,13251,214,2929,38306846,13078
1983,13253,187,1552,16399114,10566
1983,13255,842,12587,153911859,12228
1983,13257,418,7687,95481478,12421
1983,13259,88,738,9052761,12267
1983,13261,551,8195,107824247,13157
1983,13263,64,493,4909263,9958
1983,13265,20,98,922223,9410
1983,13267,239,2861,26500089,9263
1983,13269,117,1143,13575489,11877
1983,13271,215,3084,34418120,11160
1983,13273,183,2288,21723506,9495
1983,13275,852,12518,160139135,12793
1983,13277,715,10069,120881949,12005
1983,13279,482,6250,75515432,12082
1983,13281,90,720,7641345,10613
1983,13283,81,764,6802695,8904
1983,13285,979,17688,265139265,14990
1983,13287,172,2065,27022960,13086
1983,13289,60,1435,30481235,21241
1983,13291,130,1477,15018331,10168
1983,13293,406,7886,94748861,12015
1983,13295,619,9034,119526625,13231
1983,13297,462,6804,83377221,12254
1983,13299,772,9239,112472616,12174
1983,13301,62,1409,15337080,10885
1983,13303,324,4958,74360744,14998
1983,13305,382,4829,71295603,14764
1983,13307,28,163,1863276,11431
1983,13309,61,575,5977430,10396
1983,13311,220,2027,19533798,9637
1983,13313,1639,33050,495074601,14980
1983,13315,87,688,5694301,8277
1983,13317,234,3036,35599610,11726
1983,13319,139,2436,46295914,19005
1983,13321,229,2138,24384062,11405
1983,16001,4687,60407,1027889058,17016
1983,16003,74,553,8697846,15728
1983,16005,1309,15799,232122382,14692
1983,16007,115,672,7322369,10896
1983,16009,202,2046,37640212,18397
1983,16011,551,7897,114353421,14481
1983,16013,596,4091,50485472,12341
1983,16015,64,500,9046564,18093
1983,16017,613,5132,68127640,13275
1983,16019,1525,18983,295831118,15584
1983,16021,192,1266,17080473,13492
1983,16023,74,4122,117881648,28598
1983,16025,19,109,908539,8335
1983,16027,1590,21595,284575419,13178
1983,16029,190,2333,49537477,21233
1983,16031,481,5267,64547317,12255
1983,16033,20,106,846026,7981
1983,16035,243,2051,32685288,15936
1983,16037,129,1570,34240752,21809
1983,16039,321,2080,22207427,10677
1983,16041,141,1128,12066512,10697
1983,16043,186,1292,14854919,11498
1983,16045,203,2012,26282384,13063
1983,16047,249,2068,22343129,10804
1983,16049,329,2006,25302412,12613
1983,16051,190,2227,23792425,10684
1983,16053,283,2983,36282194,12163
1983,16055,1468,12837,178904242,13937
1983,16057,659,5420,62642649,11558
1983,16059,210,1085,12055513,11111
1983,16061,90,650,9433417,14513
1983,16063,45,285,3076225,10794
1983,16065,347,4597,60578496,13178
1983,16067,323,4302,60845410,14144
1983,16069,1005,12378,207946216,16800
1983,16071,65,337,3161880,9382
1983,16073,125,1263,18875767,14945
1983,16075,259,2439,32500122,13325
1983,16077,140,3005,53841300,17917
1983,16079,345,3837,82492401,21499
1983,16081,61,269,2124535,7898
1983,16083,1536,14819,196348755,13250
1983,16085,234,1430,17247395,12061
1983,16087,198,1411,15288756,10835
1983,17001,1390,22005,331055792,15045
1983,17003,212,2238,29763657,13299
1983,17005,248,2692,31023004,11524
1983,17007,376,8365,169895399,20310
1983,17009,102,706,9479080,13426
1983,17011,723,8484,123622212,14571
1983,17013,87,442,4559864,10316
1983,17015,333,2974,33038883,11109
1983,17017,268,2952,52407706,17753
1983,17019,2740,42211,589259581,13960
1983,17021,614,7505,135470155,18051
1983,17023,321,3241,37140263,11460
1983,17025,333,3022,43755891,14479
1983,17027,611,5528,70645531,12780
1983,17029,932,14038,204327268,14555
1983,17031,94859,1996000,40295759916,20188
1983,17033,371,5493,100061859,18216
1983,17035,128,1445,14303039,9898
1983,17037,1128,16771,241350194,14391
1983,17039,311,5477,123520570,22553
1983,17041,379,4677,82046302,17543
1983,17043,13312,232734,4364670319,18754
1983,17045,376,3883,53093771,13673
