fips,year,new_fips
20103,1983,20103
20105,1983,20105
20107,1983,20107
20109,1983,20109
20111,1983,20111
20113,1983,20113
20115,1983,20115
20117,1983,20117
20119,1983,20119
20121,1983,20121
20123,1983,20123
20125,1983,20125
20127,1983,20127
20129,1983,20129
20131,1983,20131
20133,1983,20133
20135,1983,20135
20137,1983,20137
20139,1983,20139
20141,1983,20141
20143,1983,20143
20145,1983,20145
20147,1983,20147
20149,1983,20149
20151,1983,20151
20153,1983,20153
20155,1983,20155
20157,1983,20157
20159,1983,20159
20161,1983,20161
20163,1983,20163
20165,1983,20165
20167,1983,20167
20169,1983,20169
20171,1983,20171
20173,1983,20173
20175,1983,20175
20177,1983,20177
20179,1983,20179
20181,1983,20181
20183,1983,20183
20185,1983,20185
20187,1983,20187
20189,1983,20189
20191,1983,20191
20193,1983,20193
20195,1983,20195
20197,1983,20197
20199,1983,20199
20201,1983,20201
20203,1983,20203
20205,1983,20205
20207,1983,20207
20209,1983,20209
21001,1983,21001
21003,1983,21003
21005,1983,21005
21007,1983,21007
21009,1983,21009
21011,1983,21011
21013,1983,21013
21015,1983,21015
21017,1983,21017
21019,1983,21019
21021,1983,21021
21023,1983,21023
21025,1983,21025
21027,1983,21027
21029,1983,21029
21031,1983,21031
21033,1983,21033
21035,1983,21035
21037,1983,21037
21039,1983,21039
21041,1983,21041
21043,1983,21043
21045,1983,21045
21047,1983,21047
21049,1983,21049
21051,1983,21051
21053,1983,21053
21055,1983,21055
21057,1983,21057
21059,1983,21059
21061,1983,21061
21063,1983,21063
21065,1983,21065
21067,1983,21067
21069,1983,21069
21071,1983,21071
21073,1983,21073
21075,1983,21075
21077,1983,21077
21079,1983,21079
21081,1983,21081
21083,1983,21083
21085,1983,21085
21087,1983,21087
21089,1983,21089
21091,1983,21091
21093,1983,21093
21095,1983,21095
21097,1983,21097
21099,1983,21099
21101,1983,21101
21103,1983,21103
21105,1983,21105
21107,1983,21107
21109,1983,21109
21111,1983,21111
21113,1983,21113
21115,1983,21115
21117,1983,21117
21119,1983,21119
21121,1983,21121
21123,1983,21123
21125,1983,21125
21127,1983,21127
21129,1983,21129
21131,1983,21131
21133,1983,21133
21135,1983,21135
21137,1983,21137
21139,1983,21139
21141,1983,21141
21143,1983,21143
21145,1983,21145
21147,1983,21147
21149,1983,21149
21151,1983,21151
21153,1983,21153
21155,1983,21155
21157,1983,21157
21159,1983,21159
21161,1983,21161
21163,1983,21163
21165,1983,21165
21167,1983,21167
21169,1983,21169
21171,1983,21171
21173,1983,21173
21175,1983,21175
21177,1983,21177
21179,1983,21179
21181,1983,21181
21183,1983,21183
21185,1983,21185
21187,1983,21187
21189,1983,21189
21191,1983,21191
21193,1983,21193
21195,1983,21195
21197,1983,21197
21199,1983,21199
21201,1983,21201
21203,1983,21203
21205,1983,21205
21207,1983,21207
21209,1983,21209
21211,1983,21211
21213,1983,21213
21215,1983,21215
21217,1983,21217
21219,1983,21219
21221,1983,21221
21223,1983,21223
21225,1983,21225
21227,1983,21227
21229,1983,21229
21231,1983,21231
21233,1983,21233
21235,1983,21235
21237,1983,21237
21239,1983,21239
22001,1983,22001
22003,1983,22003
22005,1983,22005
22007,1983,22007
22009,1983,22009
22011,1983,22011
22013,1983,22013
22015,1983,22015
22017,1983,22017
22019,1983,22019
22021,1983,22021
22023,1983,22023
22025,1983,22025
22027,1983,22027
22029,1983,22029
22031,1983,22031
22033,1983,22033
22035,1983,22035
22037,1983,22037
22039,1983,22039
22041,1983,22041
22043,1983,22043
22045,1983,22045
22047,1983,22047
22049,1983,22049
22051,1983,22051
22053,1983,22053
22055,1983,22055
22057,1983,22057
22059,1983,22059
22061,1983,22061
22063,1983,22063
22065,1983,22065
22067,1983,22067
22069,1983,22069
22071,1983,22071
22073,1983,22073
22075,1983,22075
22077,1983,22077
22079,1983,22079
22081,1983,22081
22083,1983,22083
22085,1983,22085
22087,1983,22087
22089,1983,22089
22091,1983,22091
22093,1983,22093
22095,1983,22095
22097,1983,22097
22099,1983,22099
22101,1983,22101
22103,1983,22103
22105,1983,22105
22107,1983,22107
22109,1983,22109
22111,1983,22111
22113,1983,22113
22115,1983,22115
22117,1983,22117
22119,1983,22119
22121,1983,22121
22123,1983,22123
22125,1983,22125
22127,1983,22127
23001,1983,23001
23003,1983,23003
23005,1983,23005
23007,1983,23007
23009,1983,23009
23011,1983,23011
23013,1983,23013
23015,1983,23015
23017,1983,23017
23019,1983,23019
23021,1983,23021
23023,1983,23023
23025,1983,23025
23027,1983,23027
23029,1983,23029
23031,1983,23031
24001,1983,24001
24003,1983,24003
24005,1983,24005
24009,1983,24009
24011,1983,24011
24013,1983,24013
24015,1983,24015
24017,1983,24017
24019,1983,24019
24021,1983,24021
24023,1983,24023
24025,1983,24025
24027,1983,24027
24029,1983,24029
24031,1983,24031
24033,1983,24033
24035,1983,24035
24037,1983,24037
24039,1983,24039
24041,1983,24041
24043,1983,24043
24045,1983,24045
24047,1983,24047
24510,1983,24005
25001,1983,25001
25003,1983,25003
25005,1983,25005
25007,1983,25007
25009,1983,25009
25011,1983,25011
25013,1983,25013
25015,1983,25015
25017,1983,25017
25019,1983,25019
25021,1983,25021
25023,1983,25023
25025,1983,25025
25027,1983,25027
26001,1983,26001
26003,1983,26003
26005,1983,26005
